tag,category,description,date_start,date_end,venue,type,
RemotePins,Software,This software (of my design) lets you seamlessly connect Arduinos together or to other computers.,,,,,
Responsive design,Software,,,,,,
Ruby,Software,"This modern programming language can be used for almost anything, but is particularly adapted for use on the Web.",,,,,
SASS,Software,"This language stacks on top of CSS, making it even more powerful&mdash;and scalable to an enterprise.",,,,,
Text-to-speech,Software,,,,,,
Seven-segment displays,Hardware,"These displays are designed to show numbers, but can be used to show some letters too.",,,,,
Adafruit Feather,Hardware,This ecosystem of integrated devices makes it possible to get a hardware project started quickly.,,,,,
Neural networks,Software,These algorithms learn how to categorize or make things by studying examples provided by humans. ,,,,,
Building Momentum,Exhibitions,"July 9--September 30th, 2020, at Building Momentum in Alexandria, VA.",7/9/2020,9/30/2020,Building Momentum,Solo,
1460 Wallmountables 2020,Exhibitions,"August 8--October 18th, 2020, at the DC Arts Center.",8/8/2020,10/18/2020,DC Arts Center,Open Hang,
BTPxMonochrome Art Fair,Exhibitions,"June 26--July 12, 2020, online, benefiting Halcyon and By the People.",6/26/2020,7/12/2020,By the People,Event,
WPA High Frequency,Exhibitions,"July 30--August 13, 2020, online, benefiting Washington Project for the Arts.",7/30/2020,8/13/2020,Washington Project for the Arts,Event,
DEEP FAKE,Exhibitions,"November 15--January 5, 2021, at SUPERCOLLIDER in Los Angeles, California.",11/15/2020,1/5/2021,SUPERCOLLIDER,Group,
"Movements, Moments",Exhibitions,"January 23--March 7, 2021, at Target Gallery in the Torpedo Factory Art Center in Alexandria, VA.",1/23/2021,3/7/2021,Target Gallery,Group,
Maelstrom,Exhibitions,"January 16--February 15 at Rhizome DC in Takoma, D.C.",1/16/2021,2/15/2021,Rhizome DC,Solo,
Lossiness,Exhibitions,"September 3--October 17, 2021 at VisArts's Concourse Gallery in Rockville, MD.",9/3/2021,10/17/2021,VisArts,Solo,
Spotlight@Touchstone,Exhibitions,"December 10--February 10, 2021 online at Touchstone Gallery in Washington, D.C.",12/10/2020,2/10/2021,Touchstone Gallery,Open Hang,
